date,region,product,units_sold,revenue,quarter
2023-01-01,North,Alpha,91,4777.5,Q1
2023-01-02,South,Beta,24,1764.0,Q1
2023-01-03,East,Gamma,13,546.0,Q1
2023-01-04,West,Delta,104,9828.0,Q1
2023-01-05,North,Epsilon,45,2835.0,Q1
2023-01-06,South,Alpha,41,2152.5,Q1
2023-01-07,East,Beta,38,2793.0,Q1
2023-01-08,West,Gamma,27,1134.0,Q1
2023-01-09,North,Delta,104,9828.0,Q1
2023-01-10,South,Epsilon,23,1449.0,Q1
2023-01-11,East,Alpha,96,5040.0,Q1
2023-01-12,West,Beta,104,7644.0,Q1
2023-01-13,North,Gamma,79,3318.0,Q1
2023-01-14,South,Delta,21,1984.5,Q1
2023-01-15,East,Epsilon,85,5355.0,Q1
2023-01-16,West,Alpha,64,3360.0,Q1
2023-01-17,North,Beta,14,1029.0,Q1
2023-01-18,South,Gamma,13,546.0,Q1
2023-01-19,East,Delta,21,1984.5,Q1
2023-01-20,West,Epsilon,37,2331.0,Q1
2023-01-21,North,Alpha,39,2047.5,Q1
2023-01-22,South,Beta,74,5439.0,Q1
2023-01-23,East,Gamma,87,3654.0,Q1
2023-01-24,West,Delta,13,1228.5,Q1
2023-01-25,North,Epsilon,81,5103.0,Q1
2023-01-26,South,Alpha,35,1837.5,Q1
2023-01-27,East,Beta,101,7423.5,Q1
2023-01-28,West,Gamma,93,3906.0,Q1
2023-01-29,North,Delta,99,9355.5,Q1
2023-01-30,South,Epsilon,79,4977.0,Q1
2023-01-31,East,Alpha,63,3307.5,Q1
2023-02-01,West,Beta,38,2926.0,Q1
2023-02-02,North,Gamma,67,2948.0,Q1
2023-02-03,South,Delta,85,8415.0,Q1
2023-02-04,East,Epsilon,45,2970.0,Q1
2023-02-05,West,Alpha,113,6215.0,Q1
2023-02-06,North,Beta,10,770.0,Q1
2023-02-07,South,Gamma,107,4708.0,Q1
2023-02-08,East,Delta,113,11187.0,Q1
2023-02-09,West,Epsilon,30,1980.0,Q1
2023-02-10,North,Alpha,99,5445.0,Q1
2023-02-11,South,Beta,64,4928.0,Q1
2023-02-12,East,Gamma,53,2332.0,Q1
2023-02-13,West,Delta,45,4455.0,Q1
2023-02-14,North,Epsilon,29,1914.0,Q1
2023-02-15,South,Alpha,37,2035.0,Q1
2023-02-16,East,Beta,107,8239.0,Q1
2023-02-17,West,Gamma,53,2332.0,Q1
2023-02-18,North,Delta,23,2277.0,Q1
2023-02-19,South,Epsilon,21,1386.0,Q1
2023-02-20,East,Alpha,58,3190.0,Q1
2023-02-21,West,Beta,22,1694.0,Q1
2023-02-22,North,Gamma,55,2420.0,Q1
2023-02-23,South,Delta,118,11682.0,Q1
2023-02-24,East,Epsilon,54,3564.0,Q1
2023-02-25,West,Alpha,87,4785.0,Q1
2023-02-26,North,Beta,43,3311.0,Q1
2023-02-27,South,Gamma,113,4972.0,Q1
2023-02-28,East,Delta,15,1485.0,Q1
2023-03-01,West,Epsilon,103,6180.0,Q1
2023-03-02,North,Alpha,68,3400.0,Q1
2023-03-03,South,Beta,78,5460.0,Q1
2023-03-04,East,Gamma,25,1000.0,Q1
2023-03-05,West,Delta,58,5220.0,Q1
2023-03-06,North,Epsilon,20,1200.0,Q1
2023-03-07,South,Alpha,80,4000.0,Q1
2023-03-08,East,Beta,47,3290.0,Q1
2023-03-09,West,Gamma,116,4640.0,Q1
2023-03-10,North,Delta,90,8100.0,Q1
2023-03-11,South,Epsilon,89,5340.0,Q1
2023-03-12,East,Alpha,120,6000.0,Q1
2023-03-13,West,Beta,56,3920.0,Q1
2023-03-14,North,Gamma,83,3320.0,Q1
2023-03-15,South,Delta,34,3060.0,Q1
2023-03-16,East,Epsilon,100,6000.0,Q1
2023-03-17,West,Alpha,18,900.0,Q1
2023-03-18,North,Beta,15,1050.0,Q1
2023-03-19,South,Gamma,94,3760.0,Q1
2023-03-20,East,Delta,39,3510.0,Q1
2023-03-21,West,Epsilon,108,6480.0,Q1
2023-03-22,North,Alpha,47,2350.0,Q1
2023-03-23,South,Beta,20,1400.0,Q1
2023-03-24,East,Gamma,119,4760.0,Q1
2023-03-25,West,Delta,39,3510.0,Q1
2023-03-26,North,Epsilon,120,7200.0,Q1
2023-03-27,South,Alpha,22,1100.0,Q1
2023-03-28,East,Beta,58,4060.0,Q1
2023-03-29,West,Gamma,45,1800.0,Q1
2023-03-30,North,Delta,68,6120.0,Q1
2023-03-31,South,Epsilon,91,5460.0,Q1
2023-04-01,East,Alpha,116,6090.0,Q2
2023-04-02,West,Beta,56,4116.0,Q2
2023-04-03,North,Gamma,30,1260.0,Q2
2023-04-04,South,Delta,57,5386.5,Q2
2023-04-05,East,Epsilon,55,3465.0,Q2
2023-04-06,West,Alpha,36,1890.0,Q2
2023-04-07,North,Beta,95,6982.5,Q2
2023-04-08,South,Gamma,44,1848.0,Q2
2023-04-09,East,Delta,99,9355.5,Q2
2023-04-10,West,Epsilon,97,6111.0,Q2
2023-04-11,North,Alpha,92,4830.0,Q2
2023-04-12,South,Beta,19,1396.5,Q2
2023-04-13,East,Gamma,87,3654.0,Q2
2023-04-14,West,Delta,91,8599.5,Q2
